uf_co,uf_no,ano,sexo,racacor,pop_under74
51,Mato Grosso,2022,_1,_2,190951
51,Mato Grosso,2022,_2,_2,159389
51,Mato Grosso,2022,_1,_3,4897
51,Mato Grosso,2022,_2,_3,5302
51,Mato Grosso,2022,_1,_4,1004354
51,Mato Grosso,2022,_2,_4,999459
51,Mato Grosso,2022,_1,_5,28006
51,Mato Grosso,2022,_2,_5,27541
52,Goiás,2010,_1,_1,1184253
52,Goiás,2010,_2,_1,1247374
52,Goiás,2010,_1,_2,209711
52,Goiás,2010,_2,_2,172703
52,Goiás,2010,_1,_3,43264
52,Goiás,2010,_2,_3,53770
52,Goiás,2010,_1,_4,1478905
52,Goiás,2010,_2,_4,1471967
52,Goiás,2010,_1,_5,3921
52,Goiás,2010,_2,_5,4347
52,Goiás,2022,_1,_1,1172273
52,Goiás,2022,_2,_1,1269179
52,Goiás,2022,_1,_2,338658
52,Goiás,2022,_2,_2,289775
52,Goiás,2022,_1,_3,7343
52,Goiás,2022,_2,_3,8840
52,Goiás,2022,_1,_4,1839164
52,Goiás,2022,_2,_4,1885785
52,Goiás,2022,_1,_5,4768
52,Goiás,2022,_2,_5,5253
53,Distrito Federal,2010,_1,_1,495993
53,Distrito Federal,2010,_2,_1,563354
53,Distrito Federal,2010,_1,_2,101730
53,Distrito Federal,2010,_2,_2,93377
53,Distrito Federal,2010,_1,_3,17654
53,Distrito Federal,2010,_2,_3,23200
53,Distrito Federal,2010,_1,_4,593570
53,Distrito Federal,2010,_2,_4,631236
53,Distrito Federal,2010,_1,_5,2686
53,Distrito Federal,2010,_2,_5,3306
53,Distrito Federal,2022,_1,_1,498305
53,Distrito Federal,2022,_2,_1,577672
53,Distrito Federal,2022,_1,_2,151947
53,Distrito Federal,2022,_2,_2,141999
53,Distrito Federal,2022,_1,_3,5569
53,Distrito Federal,2022,_2,_3,6392
53,Distrito Federal,2022,_1,_4,648405
53,Distrito Federal,2022,_2,_4,689221
53,Distrito Federal,2022,_1,_5,2474
53,Distrito Federal,2022,_2,_5,2863
